127.0.0.1 - - [08/Apr/2021:10:22:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:08 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:08 +0900] "GET /jsp/ HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:15 +0900] "POST /jsp/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:15 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:15 +0900] "GET /jsp/ HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:17 +0900] "GET /jsp/list.bo?currentPage=1 HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:21 +0900] "GET /jsp/enrollForm.bo HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:23:36 +0900] "POST /jsp/insert.bo HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:25:44 +0900] "POST /jsp/insert.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:25:44 +0900] "GET /jsp/list.bo?currentPage=1 HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:25:56 +0900] "GET /jsp/enrollForm.bo HTTP/1.1" 500 2658
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:08 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:08 +0900] "GET /jsp/ HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:13 +0900] "POST /jsp/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:13 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:13 +0900] "GET /jsp/ HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:14 +0900] "GET /jsp/list.bo?currentPage=1 HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:16 +0900] "GET /jsp/enrollForm.bo HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:36 +0900] "POST /jsp/insert.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2021:10:26:36 +0900] "GET /jsp/list.bo?currentPage=1 HTTP/1.1" 200 8913
